zone,annual_demand,planning_year
BASN,104415840.0,2027
CANO,106247405.0,2027
CASO,164112380.0,2027
FRCC,254835658.0,2027
ISNE,132079030.0,2027
MISC,186790489.0,2027
MISE,102056388.0,2027
MISS,175440371.0,2027
MISW,225553160.0,2027
NWPP,195981047.0,2027
NYCW,76993625.0,2027
NYUP,70257166.0,2027
PJMC,118765758.0,2027
PJMD,110841999.0,2027
PJME,289082184.0,2027
PJMW,310165370.0,2027
RMRG,88883482.0,2027
SPPC,78239307.0,2027
SPPN,49626459.0,2027
SPPS,122178131.0,2027
SRCA,218636717.0,2027
SRCE,214888614.0,2027
SRSE,242597067.0,2027
SRSG,137828950.0,2027
TRE,426645124.0,2027
TREW,19988250.0,2027
BASN,117622650.0,2030
CANO,115510879.0,2030
CASO,178550343.0,2030
FRCC,263664150.0,2030
ISNE,149354094.0,2030
MISC,200796305.0,2030
MISE,108618551.0,2030
MISS,185407544.0,2030
MISW,244560055.0,2030
NWPP,213747716.0,2030
NYCW,83015898.0,2030
NYUP,74762455.0,2030
PJMC,125041636.0,2030
PJMD,116835353.0,2030
PJME,308414943.0,2030
PJMW,328889729.0,2030
RMRG,100288099.0,2030
SPPC,83557695.0,2030
SPPN,54220969.0,2030
SPPS,131322851.0,2030
SRCA,228687588.0,2030
SRCE,225061849.0,2030
SRSE,255962582.0,2030
SRSG,147664933.0,2030
TRE,442846698.0,2030
TREW,20819394.0,2030
BASN,154373402.0,2035
CANO,141559023.0,2035
CASO,219102255.0,2035
FRCC,305390926.0,2035
ISNE,185912448.0,2035
MISC,243790194.0,2035
MISE,126030936.0,2035
MISS,223677305.0,2035
MISW,294141188.0,2035
NWPP,260888430.0,2035
NYCW,97972883.0,2035
NYUP,85901025.0,2035
PJMC,142659266.0,2035
PJMD,134294097.0,2035
PJME,361596414.0,2035
PJMW,381430632.0,2035
RMRG,129535560.0,2035
SPPC,101870818.0,2035
SPPN,67540119.0,2035
SPPS,162787259.0,2035
SRCA,263347390.0,2035
SRCE,264512199.0,2035
SRSE,303257618.0,2035
SRSG,183293864.0,2035
TRE,515960435.0,2035
TREW,24676479.0,2035
BASN,177158138.0,2040
CANO,158791938.0,2040
CASO,245898072.0,2040
FRCC,334048179.0,2040
ISNE,210413923.0,2040
MISC,264171318.0,2040
MISE,137137308.0,2040
MISS,242486982.0,2040
MISW,324181570.0,2040
NWPP,300529644.0,2040
NYCW,106442119.0,2040
NYUP,92400602.0,2040
PJMC,152682741.0,2040
PJMD,145712440.0,2040
PJME,389826566.0,2040
PJMW,412215498.0,2040
RMRG,150676430.0,2040
SPPC,108907378.0,2040
SPPN,74985567.0,2040
SPPS,177543457.0,2040
SRCA,287884867.0,2040
SRCE,285639456.0,2040
SRSE,333542368.0,2040
SRSG,204888767.0,2040
TRE,555402906.0,2040
TREW,26667903.0,2040
BASN,205854891.0,2045
CANO,185445572.0,2045
CASO,287331528.0,2045
FRCC,373487472.0,2045
ISNE,228967778.0,2045
MISC,296003389.0,2045
MISE,149857318.0,2045
MISS,273572998.0,2045
MISW,360803886.0,2045
NWPP,342473432.0,2045
NYCW,116580170.0,2045
NYUP,100244191.0,2045
PJMC,165669492.0,2045
PJMD,160553816.0,2045
PJME,428793884.0,2045
PJMW,452703049.0,2045
RMRG,173002995.0,2045
SPPC,122568997.0,2045
SPPN,85125345.0,2045
SPPS,202777705.0,2045
SRCA,320053848.0,2045
SRCE,318246408.0,2045
SRSE,375702387.0,2045
SRSG,237915030.0,2045
TRE,617229009.0,2045
TREW,29860335.0,2045
BASN,223174656.0,2050
CANO,199559149.0,2050
CASO,309235468.0,2050
FRCC,398150391.0,2050
ISNE,233966756.0,2050
MISC,302266317.0,2050
MISE,154617099.0,2050
MISS,285422687.0,2050
MISW,372086880.0,2050
NWPP,372645986.0,2050
NYCW,120232798.0,2050
NYUP,103480882.0,2050
PJMC,168907776.0,2050
PJMD,168177932.0,2050
PJME,442681870.0,2050
PJMW,466199508.0,2050
RMRG,188991709.0,2050
SPPC,124929928.0,2050
SPPN,88318595.0,2050
SPPS,210273247.0,2050
SRCA,340830683.0,2050
SRCE,332833523.0,2050
SRSE,398994725.0,2050
SRSG,258600147.0,2050
TRE,648762932.0,2050
TREW,31419683.0,2050
